pitch_rad,pitch_rate_rad,yaw_rad,yaw_rate_rad,pwm
-0.001475,0.00979,-0.06779,-0.000392,6.0
-0.001718,-0.02112,-0.067793,-0.002257,7.0
-0.002564,-0.044569,-0.067761,0.002806,9.0
-0.003933,-0.052829,-0.067696,0.003072,12.0
-0.005361,-0.0475,-0.067674,0.000674,16.0
-0.006324,-0.020853,-0.067609,0.003872,18.0
-0.006577,0.004461,-0.067509,-0.000392,19.0
-0.005962,0.043631,-0.06762,-0.007586,17.0
-0.004975,0.048693,-0.06762,-0.000125,15.0
-0.003678,0.045762,-0.067611,-0.001458,12.0
-0.002679,0.027909,-0.067586,0.001474,10.0
-0.002337,0.003128,-0.067548,0.00174,10.0
-0.002547,-0.016856,-0.067525,0.003072,10.0
-0.003255,-0.028048,-0.067509,0.00174,12.0
-0.00396,-0.022452,-0.067512,-0.000392,14.0
-0.00441,-0.012593,-0.067503,-0.001724,15.0
-0.00448,0.004461,-0.067501,0.002273,15.0
-0.004266,0.019382,-0.067484,-0.000658,15.0
-0.003721,0.023113,-0.067464,-0.002257,14.0
-0.003103,0.016984,-0.067411,0.000408,12.0
-0.002907,0.005526,-0.067405,0.001474,12.0
-0.002907,-0.007264,-0.067394,0.000408,12.0
-0.003133,-0.012593,-0.067372,0.000141,13.0
-0.003617,-0.017656,-0.067333,0.002539,14.0
-0.003976,-0.006997,-0.067318,0.002006,15.0
-0.004172,0.00073,-0.067301,-0.000125,15.0
-0.004153,0.008191,-0.067284,0.000941,15.0
-0.004003,0.006592,-0.067263,-0.001191,15.0
-0.003697,0.010323,-0.067233,0.003072,15.0
-0.003597,0.009257,-0.067232,0.000941,14.0
-0.00339,0.010056,-0.067206,-0.000925,14.0
-0.003256,0.00526,-0.067184,0.004671,14.0
-0.00323,-6.9e-05,-0.067183,-0.00279,14.0
-0.00331,-0.003533,-0.067178,-0.002257,14.0
-0.003203,-0.001935,-0.067171,-0.000925,14.0
-0.003359,-0.005399,-0.067134,0.002806,14.0
-0.003711,-0.007797,-0.06715,0.000408,15.0
-0.003704,-6.9e-05,-0.067141,0.000408,15.0
-0.003554,0.008724,-0.067126,-0.001458,15.0
-0.00332,0.015652,-0.067102,0.002273,15.0
-0.002952,0.009523,-0.067099,-0.002523,14.0
-0.002863,0.004461,-0.067087,0.000941,14.0
-0.002883,-0.000602,-0.067064,0.002539,14.0
-0.003021,-0.006731,-0.067067,0.000408,14.0
-0.00325,-0.008863,-0.067037,0.001207,15.0
-0.003571,-0.008596,-0.067025,0.001474,16.0
-0.003769,-0.000602,-0.067024,0.000941,16.0
-0.003782,0.005793,-0.067016,-0.000658,17.0
-0.003489,0.011122,-0.066999,0.00174,16.0
-0.003286,0.012454,-0.066966,0.000408,16.0
-0.003143,0.006059,-0.066914,0.002806,15.0
-0.00314,-0.004066,-0.066887,0.000408,16.0
-0.003345,-0.010728,-0.06689,-0.000125,16.0
-0.003914,-0.015791,-0.066838,0.002273,18.0
-0.004324,-0.008863,-0.066803,0.002539,19.0
-0.004484,0.001796,-0.066793,-0.000392,19.0
-0.004379,0.010323,-0.066769,0.000941,19.0
-0.003909,0.021248,-0.066782,0.000408,18.0
-0.003191,0.028975,-0.066765,0.000674,16.0
-0.002646,0.013787,-0.066728,0.003072,15.0
-0.002637,-0.009395,-0.066724,-0.000392,15.0
-0.003261,-0.027781,-0.06668,0.000941,17.0
-0.004077,-0.025383,-0.066636,0.001474,19.0
-0.00458,-0.011261,-0.066645,-0.001458,20.0
-0.00468,0.008458,-0.06664,-0.002523,20.0
-0.004411,0.017517,-0.066656,-0.00199,20.0
-0.003985,0.019649,-0.066625,0.000408,19.0
-0.003633,0.011122,-0.066621,0.000141,18.0
-0.003535,-0.001668,-0.066608,0.001474,18.0
-0.003792,-0.015258,-0.06659,0.002806,19.0
-0.004392,-0.016323,-0.066565,0.003605,21.0
-0.004674,-0.007797,-0.066588,0.000141,21.0
-0.004694,0.006859,-0.066576,0.000674,21.0
-0.004373,0.020448,-0.066548,0.00174,21.0
-0.003923,0.016185,-0.066542,0.000941,20.0
-0.003504,0.012188,-0.066533,0.002539,19.0
-0.003328,0.003928,-0.066533,-0.000392,19.0
-0.003393,-0.006198,-0.066525,0.000141,19.0
-0.003779,-0.013925,-0.066534,0.002539,20.0
-0.004197,-0.010994,-0.06651,0.001207,21.0
-0.00435,-0.006198,-0.066503,0.003339,22.0
-0.004367,0.006859,-0.066517,0.000408,22.0
-0.004241,0.004727,-0.066614,-0.000925,21.0
-0.004117,0.009523,-0.066618,-0.00199,21.0
-0.003765,0.011122,-0.066561,0.003339,21.0
-0.003602,0.006059,-0.066518,0.002273,20.0
-0.003579,0.001263,-0.066509,0.000141,20.0
-0.003687,-0.006464,-0.066523,0.000941,21.0
